order,use,model,model_iteration,MAE,R2
1,residential,rf,a1,432.2375049,0.632334159
2,residential,rf,a2,442.955626,0.623554215
3,residential,xgb,a1,410.6186224,0.635468131
4,residential,xgb,a2,417.7944599,0.653286386
5,residential,lgbm,a1,402.9228898,0.68884258
6,residential,lgbm,a2,415.5249454,0.668818245
7,residential,cat,a1,416.6469977,0.689645593
8,residential,cat,a2,427.1342237,0.691192934
9,office,rf,a1,52.8376064,0.282962494
10,office,rf,a2,52.85261651,0.287897667
11,office,xgb,a1,46.04159458,0.23077673
12,office,xgb,a2,47.00583258,0.201100468
13,office,lgbm,a1,53.89064569,0.270121201
14,office,lgbm,a2,54.12591883,0.286148088
15,office,cat,a1,56.18398871,0.247639705
16,office,cat,a2,55.81506307,0.251906265
17,commercial,rf,a1,229.4116223,0.388168282
18,commercial,rf,a2,229.4654889,0.381358253
19,commercial,xgb,a1,216.4836116,0.05915808
20,commercial,xgb,a2,226.3103622,0.027173995
21,commercial,lgbm,a1,242.8567311,0.344807153
22,commercial,lgbm,a2,244.081206,0.42087699
23,commercial,cat,a1,245.317929,0.260884321
24,commercial,cat,a2,252.7063231,0.260830415
25,residential,rf,b1,442.3917399,0.603281667
26,residential,rf,b1_pruned,439.4501461,0.604239214
27,residential,xgb,b1,447.3006141,0.6245582
28,residential,xgb,b1_pruned,433.8334834,0.641280218
